trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-41
1,snack10,"[6,3]",sophisticated,-50
2,snack7,"[6,3]",naive,-36
2,snack7,"[6,3]",sophisticated,-50
3,snack3,"[3,9]",naive,-39
3,snack3,"[3,9]",sophisticated,-50
4,snack7,"[3,4]",naive,24
4,snack7,"[3,4]",sophisticated,0
5,snack8,"[10,3]",naive,-39
5,snack8,"[10,3]",sophisticated,-50
6,snack8,"[10,2]",naive,50
6,snack8,"[10,2]",sophisticated,0
7,snack1,"[4,9]",naive,-35
7,snack1,"[4,9]",sophisticated,-50
8,snack8,"[8,5]",naive,-27
8,snack8,"[8,5]",sophisticated,-50
9,snack10,"[5,3]",naive,-39
9,snack10,"[5,3]",sophisticated,-50
10,snack2,"[13,3]",naive,-15
10,snack2,"[13,3]",sophisticated,0
11,snack2,"[13,4]",naive,-30
11,snack2,"[13,4]",sophisticated,0
12,snack5,"[10,4]",naive,33
12,snack5,"[10,4]",sophisticated,50
13,snack1,"[10,10]",naive,44
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,36
14,snack9,"[8,10]",sophisticated,50
15,snack10,"[6,11]",naive,43
15,snack10,"[6,11]",sophisticated,50
16,snack3,"[10,9]",naive,-12
16,snack3,"[10,9]",sophisticated,-32
17,snack3,"[11,9]",naive,36
17,snack3,"[11,9]",sophisticated,48
18,snack1,"[6,11]",naive,37
18,snack1,"[6,11]",sophisticated,50
19,snack2,"[5,4]",naive,5
19,snack2,"[5,4]",sophisticated,19
20,snack7,"[3,10]",naive,24
20,snack7,"[3,10]",sophisticated,30
21,snack9,"[12,4]",naive,15
21,snack9,"[12,4]",sophisticated,0
22,snack5,"[8,4]",naive,-31
22,snack5,"[8,4]",sophisticated,-50
23,snack5,"[8,5]",naive,-28
23,snack5,"[8,5]",sophisticated,-50
24,snack6,"[7,10]",naive,16
24,snack6,"[7,10]",sophisticated,-41
25,snack9,"[8,5]",naive,19
25,snack9,"[8,5]",sophisticated,29
26,snack6,"[8,13]",naive,1
26,snack6,"[8,13]",sophisticated,2
27,snack6,"[7,9]",naive,-21
27,snack6,"[7,9]",sophisticated,-50
