trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-50
1,snack10,"[6,3]",sophisticated,-49
2,snack7,"[6,3]",naive,-50
2,snack7,"[6,3]",sophisticated,-50
3,snack3,"[3,9]",naive,-47
3,snack3,"[3,9]",sophisticated,-45
4,snack7,"[3,4]",naive,-48
4,snack7,"[3,4]",sophisticated,-45
5,snack8,"[10,3]",naive,-38
5,snack8,"[10,3]",sophisticated,-20
6,snack8,"[10,2]",naive,-44
6,snack8,"[10,2]",sophisticated,-21
7,snack1,"[4,9]",naive,-38
7,snack1,"[4,9]",sophisticated,-35
8,snack8,"[8,5]",naive,-26
8,snack8,"[8,5]",sophisticated,-17
9,snack10,"[5,3]",naive,-49
9,snack10,"[5,3]",sophisticated,-46
10,snack2,"[13,3]",naive,50
10,snack2,"[13,3]",sophisticated,47
11,snack2,"[13,4]",naive,50
11,snack2,"[13,4]",sophisticated,47
12,snack5,"[10,4]",naive,31
12,snack5,"[10,4]",sophisticated,26
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,43
14,snack9,"[8,10]",sophisticated,41
15,snack10,"[6,11]",naive,49
15,snack10,"[6,11]",sophisticated,46
16,snack3,"[10,9]",naive,33
16,snack3,"[10,9]",sophisticated,27
17,snack3,"[11,9]",naive,45
17,snack3,"[11,9]",sophisticated,42
18,snack1,"[6,11]",naive,48
18,snack1,"[6,11]",sophisticated,42
19,snack2,"[5,4]",naive,3
19,snack2,"[5,4]",sophisticated,-6
20,snack7,"[3,10]",naive,4
20,snack7,"[3,10]",sophisticated,2
21,snack9,"[12,4]",naive,-13
21,snack9,"[12,4]",sophisticated,-12
22,snack5,"[8,4]",naive,0
22,snack5,"[8,4]",sophisticated,0
23,snack5,"[8,5]",naive,13
23,snack5,"[8,5]",sophisticated,9
24,snack6,"[7,10]",naive,3
24,snack6,"[7,10]",sophisticated,1
25,snack9,"[8,5]",naive,-24
25,snack9,"[8,5]",sophisticated,-21
26,snack6,"[8,13]",naive,-6
26,snack6,"[8,13]",sophisticated,-7
27,snack6,"[7,9]",naive,5
27,snack6,"[7,9]",sophisticated,4
